#OTUID	taxonomy	confidence
06e8d098345e4256948886100fbeb052	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nymphalidae	0.55
06f9449d84e65e56869213288076023d	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
070c7c0e3f59c06e3c1478d177473182	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
0711304abf0773579e6a69b15e64260f	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.95
0714b66af8bdc4d8ee267679afec4ba4	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.55
0747eac58924e58ff02cf4e1ad7f8894	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.55
075ba69bb47dc67f88bd0141430ae85d	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Lycaenidae	0.55
076c2a764dc0a2cc30140da592592b39	k__Metazoa;p__Arthropoda;c__Insecta	0.95
076f9cbb187cdc2c25dbc5fb29d0b1dd	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nymphalidae	0.6
077b1126afc71945d8dbb3255ae53d94	k__Metazoa;p__Arthropoda;c__Insecta	1.0
0785ec00a91bb3e2b92ae767988f6829	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
079673bd05d4055375a8d1125ef21a03	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
079c9131ba9f970293484e86dcf1d7be	k__Metazoa;p__Arthropoda;c__Insecta	0.95
07ad0fca8d492e380b182b693282335d	k__Metazoa;p__Arthropoda;c__Insecta	0.929
07b5036d6f48fb28b2c69531ae611e26	k__Metazoa;p__Arthropoda;c__Insecta	1.0
07b604fff64924bf5ef6186efe7bf86e	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
07bde8364f56422627faf9f12b5e24ba	k__Metazoa;p__Arthropoda;c__Insecta	1.0
07c2e466f4bddd71956dc18f17bf10e0	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
07e1cc47a39ebea0693fe5f6ed8cb24a	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
